순번,표제어,대분류,영문,설명,출처,출처1,중분류
6308,복구,전력지원체계,Recovery,이전 모양으로 회복하거나 이전과 같이 고침을 뜻한다. 파손된 물자를 사용 가능한 상태로 회복시키기 위해 취해지는 조치를 말한다.,과학기술용어사전+국방부군수전력용어사전,,기타
6309,복구 가능품,전력지원체계,Recoverable Item,수리부속 중에서 수리 또는 재생 가능한 주요 구성품 및 결합체로써 재생 가능 품목 또는 복구성 품목이라고도 한다.,과학기술용어사전,,기타
6310,복구성 부호,전력지원체계,Recoverability Code,"사용 불가능한 품목들에 대한 처리 행동을 지시하기 위해 지원 품목에 표시되며, 근원, 정비 및 복구성 부호(SMR) 양식의 다섯째 자리에 위치한다. (Z: 수리 불가능한 품목, 세 번째 위치에 지시된 정비 계단에서 폐기 처분, O: 부대 정비 계단에서 폐기 처분, F: 직접 지원 정비 계단에서 폐기 처분, H: 일반 지원 정비 계단에서 폐기 처분, D: 수리 가능 품목이며, 하급 정비 계단에서 수리 능력이 미치지 못할 때는 창으로 후송).",1. KIMA 2. 과학기술용어사전+국방부군수전력용어사전,,기타
6311,복구성 품목,전력지원체계,Repairable Item,"통상적인 수리절차를 통해 서비스 가능한 상태로 복구가 가능한 내구재 품목이다. 경제적, 공학적으로 수리할 만한 가치가 있다고 인정한 품목으로 재생가능품이라고도 한다.",과학기술용어사전+국방부군수전력용어사전,,기타
6312,복귀 선량,기타,,방사능 측정 원인이 작전 노출 지침을 초과하지 않게 하기 위하여 측정을 시작하기 전에 지휘관이 결정하는 선량으로 측정 도중 지정된 선량에 도달하면 오염 지역을 이탈 복귀하여야 하는 선량.,국방과학기술용어,국방과학기술용어사전,기타
6313,복귀 선량율,기타,,☞ 복귀 선율(復歸線率),국방과학기술용어,국방과학기술용어사전,기타
6314,복귀 선율,기타,Rehabilitation Dose Rate,방사능 오염 지역에서 임무 수행 중 복귀하여야 하는 방사선 피폭 선율. 복귀 선율은 지휘관이 결정한다. ☜ 복귀 선량율(復歸線量率),국방과학기술용어,국방과학기술용어사전,기타
6315,복극 전지,기타,Primary Battery / Primary Cell,전지에 있어서 수소(水素)가스가 +극의 표면을 싸고 그 기능을 감쇠하게 하는 것을 성극(成極)이라 하고 이것을 방지하는 것을 감극 또는 복극(復極)이라고도 한다.,국방과학기술용어,국방과학기술용어사전,기타
6316,복리 후생비,사업/계약관리,Fringe Benefit,"1. 사용인에게 직접 지급되는 급여, 상여, 퇴직금과는 달리 사용인에게 직접 지급되지 아니하고 근로환경의 개선 및 근로의욕의 향상 등을 위하여 지출하는 노무비적인 성격을 갖는 비용으로서, 일반적으로 기업이 지출하는 복리후생의 비용은 기업활동에 활기를 불어넣어 주어 기업의 이익을 증진시키자는 데 그 목적이 있는 것이다. 2. 계약목적물의 제조작업에 종사하고 있는 노무자, 종업원등의 의료 위생약품대, 공상치료비, 지급피복비, 건강진단비, 급식비(""중식 및 간식제공을 위한 비용을 말한다""이하 같다)등 작업조건유지에 직접 관련되는 비용을 말한다.",KIMA,방산원가대상물자 제비율 산정실무,계약관리
6317,복명 복창,기타,Report Repeat,"상급자가 내린 명령·지시를 되풀이하여 말함. 또는 그렇게 하라는 명령. 이를 통하여 명령과 지시가 정확하게 전달되었음을 확인할 수 있으며, 그 시행을 다짐하게 된다.",국방과학기술용어,국방과학기술용어사전,기타
6318,복반사,기타,Reverberation,"해저, 수면의 불균일 또는 수중에 부유하는 물체들로 인한 산란 때문에 음원으로 돌아오는 잡음. 수면, 수중, 해저 복반사의 세 가지 형태가 있다.",국방과학기술용어,국방과학기술용어사전,기타
6319,복반사음,기타,Reverberation Level,"경계면 혹은 부유 물질에 의해 산란된 음파 중 입사 음파가 음원 방향으로 되돌아오는 반향음. 능동 소나(Active Sonar) 운용 시 수중 소음 및 자체 소음에서 수신 지향 지수를 감한 값이 이 소음보다 작을 시는 복반사음이 자연 수중 소음 및 자체 소음 대신 적용된다. 복반사음에는 수면 복반사음, 해저 복반사음, 수중 복반사음 세 가지가 있다. ☜ RL(Reverberation Level)",국방과학기술용어,국방과학기술용어사전,기타
6320,복병전,기타,Ambush Fight,매복하여 숨어 있다가 적을 기습하며 벌이는 싸움.,국방과학기술용어,국방과학기술용어사전,기타
6321,복사,기타,Radiation,"전자파에 의한 에너지의 전달. 이 복사는 파장에 따라서 감마선, 엑스선, 자외선, 가시광선, 적외선 및 전파로 나누어지나, 이 중에서 기상학에 있어서 가장 중요한 것은 대부분이 가시광선으로 되어있는 태양 복사와 지구 및 대기로부터 나오는 적외 복사 등이다.",국방과학기술용어,국방과학기술용어사전,기타
6322,복사계,사업/계약관리,Radiometer,"지표면 혹은 지표 바로 아래에 있는 토양과 암석으로부터 방사되는 아주 긴 파장(1-10cm)의 에너지를 감지하는 감지기. 광산 탐사, 토질 측량, 토양 함수량 측정 등에 이용된다.",방위사업청(기술기획과),과학기술용어사전,국방기술지원
6323,복사에너지,기타,Radiation Energy,"절대 영도(0°K) 이상의 모든 물체에서는 복사 에너지가 방출된다. 복사 에너지는 물체 내부의 원자 및 분자의 진동과 회전에 의해 생성되며 진공, 기체, 액체 및 고체 등의 물리적 전달체를 통해 전파된다. ☜ 방사 에너지(放射energy)",국방과학기술용어,국방과학기술용어사전,기타
6324,복소 굴절률,기타,Complex Refractive Index,"매질의 특성을 나타내는 단위가 없는 양. 그 실수부는 매질 내의 위상 속도에 대한 자유 공간의 위상 속도의 비로 정의되고, 굴절률의 허수부와 자유 공간 전파 상수의 곱은 매질 내에서의 감쇠 정수로 정의된다. ☜ CRI(Complex Refractive Index)",국방과학기술용어,국방과학기술용어사전,기타
6325,복수,기타,Condensation,(1) 수증기가 열을 빼앗겨 응결하는 현상 또는 그 물. (2) 증기를 응축하여 다시 물이 되게 하는 것 또는 그 물.,국방과학기술용어,국방과학기술용어사전,기타
6326,복수 경쟁,행정공통,Plural Competition,구매 목적을 달성할 수 있는 유사 품목에 대하여 예정 가격을 복수로 결정하여 유사 품목을 생산할 수 있는 여러 업체로 하여금 입찰에 참여토록 하는 경쟁 입찰 제도를 말한다.,과학기술용어사전,,기타
6327,복수 업체 지정 방산물자,정책/제도,,동일한 방산물자에 대하여 2개 이상의 방산업체에 복수로 지정된 방산물자를 말한다.,방사청용어+KIMA,"방산물자 계약 전 양산품 품질보증활동 지침, 방위사업청 예규  제38호(2012. 10. 26. 개정)",획득기획
6328,복수 예비 가격,사업/계약관리,,기초 예비 가격을 기준으로 ±3％ 범위 내에서 산정한 15개의 가격을 말한다.,방사청용어+kima+과학기술용어사전+국방부군수전력용어사전,"방위사업관리규정, 방위사업청 훈령 제188호(2012. 8. 1. 개정)",계약관리
6329,복수기,기타,Condenser,"증기를 냉각하여 액화시키는 장치. ☜ 액화기(液化器), 응축기(凝縮器), 콘덴서(Condenser)",국방과학기술용어,국방과학기술용어사전,기타
6330,복식 돌파,기타,Multiple Penetration,공격 부대가 적의 방어 진지를 2개소 이상에서 통과하여 적을 분단 후 방어의 지속성을 파괴할 수 있는 목표를 확보함으로써 적을 각개 격파하는 돌파 기동 형태의 변형.,국방과학기술용어,국방과학기술용어사전,기타
6331,복엽 효과,기타,Biplane Effect,"복엽기에서 두 날개의 상호 간섭 때문에 발생하는 양력 손실.복원(復員) [공통] Demobilization; 전시 체제에서 평시 체제로 전환됨에 따라서 인적, 물적 자원을 동원 목적으로부터 해제시키는 제반 활동을 말하며, 복원의 종류에는 인원, 물자 및 행정 복원으로 구분됨. 특히 행정 복원은 전시 체제 확립을 위해 증·창설되었던 각종 행정 기구를 원상으로 환원시키는 것을 말하며, 복원은 서서히 단계적으로 실시하며 혼란과 무질서를 방지할 수 있도록 해야 함.",국방과학기술용어,국방과학기술용어사전,기타
6332,복엽기,기타,Biplane,두 개의 날개가 위 아래로 장착된 항공기. ☜ 바이플레인(Biplane),국방과학기술용어,국방과학기술용어사전,기타
6333,복원력,기타,Restoring Force,"평행을 유지하던 선박, 비행기 등이 외부의 힘을 받아 기울었을 때 원래의 위치로 돌아오도록 작용하는 힘. ☜ 회귀력(回歸力)",국방과학기술용어,국방과학기술용어사전,기타
6334,복잡 정밀 품목,전력지원체계,,제품의 형상이 복잡 정밀하며 제품 자체로 단독 성능을 발휘하는 품목을 말한다.,방사청용어,"국방품질경영업무규정, 개정 2012. 3.12(정책기획실- 460)",기타
6335,복잡 품목,전력지원체계,,제품의 품질 특성상 완성품으로서는 품질을 판정할 수 없는 성질을 가지고 있기 때문에 제조 과정에서 품질 적합 여부의 확인이 필요한 품목을 말한다.,과학기술용어사전,,기타
6336,복제,기타,Clone,호스트나 원격 컴퓨터의 지정된 폴더를 다른 컴퓨터의 지정된 폴더와 동일하게 만드는 방법. 소스 폴더의 파일이 대상 폴더로 복사된다. 대상 폴더에는 있지만 원본 폴더에 없는 파일은 디스크에서 삭제한다.,국방과학기술용어,국방과학기술용어사전,기타
6337,복제 규정,정책/제도,Uniform Regulation,"장병이 착용할 여러 제복의 모양, 규격, 색, 종류, 품질, 방법 등에 관한 규정이다.",과학기술용어사전+국방부군수전력용어사전,,획득기획
6338,복조,기타,Demodulation,데이터 통신에서 수신된 신호를 원래의 신호로 재생하는 조작. 대개 디지털 신호는 전송 회선을 통과하기 부적합하므로 송신 측에서 이를 아날로그 신호로 변조하여 보내면 수신 측에서 원래의 디지털 신호로 복조한다.,국방과학기술용어,국방과학기술용어사전,기타
6339,복조 소음,기타,Detection Of Envelope Modulation On Noise,"광대역 소음에 의해 변조된 소음을 분석하는 기법. 주로 프로펠러의 소음 분석 시 사용되며, 표적의 속도, 추진기 관련 정보를 획득할 수 있다. 주요 식별 소음에는 프로펠러 회전율과 날개율 등이 있다. ☜ DEMON(Detection Of Envelope Modulation On Noise)",국방과학기술용어,국방과학기술용어사전,기타
6340,복좌,기타,Counter Recoil,포탄 사격 시에 발생하는 반동력에 의하여 포신이 후퇴하였다가 다시 사격전 자세로 돌아오는 포신의 전진운동(복좌 운동). ☜ CR(Counter Recoil),국방과학기술용어,국방과학기술용어사전,기타
6341,복좌 완충기,기타,,주퇴부가 복좌기에 의하여 원 위치로 복귀할 마지막 단계에 복좌부를 제동하여 복귀 시 포가에 미치는 충격을 감소시켜 주는 에너지 소산 장치.,국방과학기술용어,국방과학기술용어사전,기타
6342,복좌 항공기,기타,Multi-piloted Aircraft,"2개의 조종간과 계기판이 갖춰져 있으며 관련 기종 교범에 의거 자격을 획득한 2명의 조종사가 탑승, 조종하도록 명시된 항공기. ☜ 복좌기(複座機)",국방과학기술용어,국방과학기술용어사전,기타
6343,복좌기,기타,,"포신 및 기타 주퇴부를 원위치로 복귀시켜 주며, 다음 사격시까지 포신이 그 위치에 있도록 해주는 장치.",국방과학기술용어,국방과학기술용어사전,기타
6344,복지 점수,기타,,맞춤형 복지제도를 설계ㆍ운영함에 있어 필요한 예산의 배정이나 복지 혜택의 구매 및 정산에 사용되는 계산단위를 말한다.,방위사업용어,430 방위사업청 공무원 맞춤형 복지제도 운영지침,기타
6345,복층 추진제,기타,Multi Layer Propellant,추진제의 표면을 지연제로 코팅한 추진제. 코팅으로 인하여 초기 연소 속도를 지연하고 점진적으로 연소를 통하여 에너지 함량을 5 - 10% 증대시킬 수 있다. 복층 추진제를 사용하면 사거리를 연장할 수 있으며 포구 속도를 증대시켜 탄의 운동 에너지를 증가하여 더욱 강력한 파괴력을 가질 수 있다.,국방과학기술용어,국방과학기술용어사전,기타
6346,복합 감응 기뢰,기타,Combined Influence Mine,"해군에서 운용되는 기뢰를 그 기폭 방식에 따라 분류한 것으로서, 대상 표적과의 직접 접촉없이 표적에 의해 발생되는 자기, 음향 및 압력 등 발화 장치의 동작 요인 중 2가지 이상이 복합적으로 작용하여 폭발하도록 설계된 기뢰. 접촉기뢰와 대비되는 개념이다.",국방과학기술용어,국방과학기술용어사전,기타
6347,복합 기뢰,기타,Combination Mine,"감응 기뢰의 일종으로서, 자기, 음향, 압력 등 기뢰 발화 장치의 동작요인 중 2가지 이상이 복합적으로 동작되어 폭발하도록 설계된 기뢰.",국방과학기술용어,국방과학기술용어사전,기타
6348,복합 명령 세트 컴퓨터,기타,,☞ CISC(complex instruction set com-puter),국방과학기술용어,국방과학기술용어사전,기타
6349,복합 민원,정책/제도,,"하나의 민원목적을 실현하기 위하여 관계법령 등에 의하여 다수의 관계기관(민원사항과 관련된 단체ㆍ협회 등을 포함) 또는 부서의 허가ㆍ인가ㆍ승인ㆍ추천ㆍ협의ㆍ확인 등을 거쳐 처리되는 민원사무를 말한다. 예) 　산업집적활성화 및 공장설립에 관한 법률　에 따른 ‘공장설립 승인’ 민원이 신청된 경우 　농지법　에 의한 농지전용, 　국토의 계획 및 이용에 관한 법률　에 의한 개발행위, 　건축법　에 의한 건축허가 등 여러 부서의 허가, 인가, 승인 등을 거치도록 되어 있다.  이와 같은 민원을 복합민원이라고 한다.",KIMA,민원사무업무편람,획득기획
6350,복합 방호 체계,기타,Integrated Defense System,아군의 전투력 방호를 위해 항공기·유도탄·화생방 방호 등의 여러 방호 체계를 하나의 통합된 체계로 연동시켜 승수 효과를 달성하는 방호 시스템.,국방과학기술용어,국방과학기술용어사전,기타
6351,복합 변조,기타,Hybrid Multiplex Modulation,"다중 통신을 하기 위한 반송파를 진폭 변조, 위상 변조, 주파수 변조 등 다른 변조 방식을 조합시켜 변조하는 것.",국방과학기술용어,국방과학기술용어사전,기타
6352,복합 속성,행정공통,Composite Attribute,정보의 식별 가능한 부분들의 특정 집합으로 구성되는 속성을 말한다.,과학기술용어사전,,기타
6353,복합 연막탄 발사기 기술,기타,Multiple Smoke-shell Launching Technology,유도 교란형 능동 방호 장치의 세부 기술로서 위협의 방향으로 급선회 가능한 발사기 설계 및 제작 기술. 여러 영역에 동시에 차장 연막을 만들 수 있어야 한다.,국방과학기술용어,국방과학기술용어사전,기타
6354,복합 운송 선하증권,정책/제도,Multimodal Transport Bill Of Lading / Multimodal Transport BL,"최종 목적지까지 육상, 해상, 항공 중 적어도 2개 이상의 다른 운송 수단에 의해 복합 운송되는 경우 발행한다.",과학기술용어사전+국방부군수전력용어사전,,획득기획
6355,복합 유도,기타,Multimode Guidance,"관성 유도, 지령 유도, 호밍 유도 중에서 2개 이상의 방식을 복합시켜 유도하는 방식.",국방과학기술용어,국방과학기술용어사전,기타
6356,복합 장갑,기타,Composite Armor,"강이나 알루미늄을 주 재료로 한 종전의 균질 장갑에 세라믹스, 나일론, 티타늄 등 비철 재료를 조합하여 보강한 장갑. 앞뒤의 방탄 강판 사이에 각종 재료를 끼워 놓은 것으로, 특히 열 충격에 강해 성형 장약 탄두에 대항할 목적으로 개발되었다. 장갑의 성형 작약탄에 대한 방호력을 증대하는 데 가장 효과적인 방법 중의 하나이다.",국방과학기술용어,국방과학기술용어사전,기타
6357,복합 재료,기타,Composite Materials,"두 가지 이상의 재료를 섞어서 전체적인 재료의 특성을 향상시킨 혼합 재료. 일반적으로 유리 섬유나 탄소섬유 또는 아라미드섬유와 같은 고강도 섬유 재료를 플라스틱에 적셔서 굳힌 것을 복합재료라고 부르며, 중량을 가볍게 하면서 강도를 증대시킬 목적으로 사용되며, 항공기, 우주선, 기갑 차량의 일부에 사용된다. ☜ 복합재(複合材)",국방과학기술용어,국방과학기술용어사전,기타
6358,복합 전장 지능화 및 시각화 기술,기타,,"이동형 또는 분산형의 복합 전장 상황을 실시간으로 전시(도시)하고, 이를 2차원 내지 3차원적으로 시각화하여 표현하는 기술.",국방과학기술용어,국방과학기술용어사전,기타
6359,복합 정밀 타격 체계,기타,"Command, Control, Communications, Computers, Intelligence, Surveillance And Reconnaissance + Precision-Guided Munition S","지휘, 통제, 통신, 컴퓨터, 정보, 감시, 정찰 및 정밀 유도 무기로 센서(Sensor)에서 발사자(Shooter)까지 연결하는 자동화 체계. 감시 정찰 정보 체계와 정밀 타격 체계, 지휘 통제 체계를 실시간에 디지털로 연동된 무기 체계 또는 이와 관련된 하부 체계를 말한다. ☜ C4ISR+PGMs(Command, Control, Communications, Computers, Intelligence, Surveillance And Reconnaissance + Precision-guided Munition S)",국방과학기술용어,국방과학기술용어사전,기타
6360,복합 체계 분석,정책/제도,System Of Systems Analysis,"1. 여러 체계들로 구성되거나 여러 체계들 간에 연계성을 가지는 복합 체계를 분석하는 것을 말한다.  2. 적의 정치·군사·경제·사회·기반구조·정보(PMESII)체계들 속에서 상호 연관성을 가지는 체계를 분석하여 의존성이나 강점과 약점, 노드(Nodes)들을 찾아내어 적의 전체 체계에 영향을 미치도록 지식 기반을 구축하는 분석 활동. 효과 기반 작전을 위한 운용 체계 평가(ONA)의 핵심이다. ☞ SoSA(System Of Systems Analysis)",과학기술용어사전,,획득기획
6361,복합 추진제,기타,,☞ 하이브리드 추진제(hybrid推進劑),국방과학기술용어,국방과학기술용어사전,기타
6362,복합 화약,기타,Plastic Bonded Explosive,폴리머가 화약의 입자를 감싸는 형태로 안정성과 위력이 향상된 화약. 탄약에 충전하는 방식에 따라 주조형과 압축형으로 구분한다. ☜ PBX(PlasticBonded Explosive),국방과학기술용어,국방과학기술용어사전,기타
6363,복합 화학 무기,기타,Binary Chemical Weapon,"종전의 독가스(주로 신경가스)가 1액제로서 독성이 강해 취급이 불편하고 저장 용기도 부식의 위험성이 있기 때문에 무해한 두 액제로 나누어 저장하였다가 사용 직전에 혼합, 합성하여 독성을 발휘시키는 화학 무기. 원료 물질 또는 저장 용기를 두 가지 사용한다고 해서 2원화 또는 복합형이라고 부른다. ☜ 이원화 화학 무기(二元化化學武器)",국방과학기술용어,국방과학기술용어사전,기타
6364,복합재,기타,,☞ 복합 재료(複合材料),국방과학기술용어,국방과학기술용어사전,기타
6365,복합적인 위협,기타,Blended Threat,"바이러스, 웜, 트로이 목마 및 악성코드의 특성과 서버 및 인터넷 취약점을 결합하여 공격을 시작하고 이를 전송하며 확산시키는 제반 위협을 통칭하는 말. 복합적인 위협은 여러 가지 방법과 기법을 사용하여 급속히 확산되고 광범위한 손상을 입힐 수 있으며, 다음과 같은 특징을 가지고 있다. 1. 해를 입힘 : 대상 IP 주소에서 서비스 거부(DoS) 공격을 실행하거나 웹 서버를 손상시키거나 나중에 실행되도록 트로이 목마 프로그램을 배치할 수 있다. 2. 다양한 방법으로 전염 : 서버 상에서 HTML 파일에 코드를 내장시키고 손상된 웹 사이트의 방문자를 감염시키거나 감염된 서버에서 웜이 첨부된 인증되지 않은 이메일을 전송하는 등의 방법으로 시스템을 감염시키고 취약점을 찾아낸다. 3. 다양한 지점에서 공격 : 시스템의 .exe 파일에 악성코드를 주입하고, 게스트 계정의 권한 수준을 올리고, 읽기 및 쓰기가 가능한 네트워크 공유를 생성하고, 레지스트리를 변경하고, HTML 파일에 스크립트 코드를 추가한다. 4. 사용자의 개입 없이 확산 : 공격할 취약한 서버를 찾기 위해 인터넷을 지속적으로 검사한다. 5. 취약점 악용 : 버퍼 오버플로우, HTTP 입력 검증 취약점, 알려진 기본 암호 등과 같은 알려진 취약점을 이용하여 인증되지 않은 관리자 권한을 획득한다. ☜ 혼합형 보안 위협(混合型保安威脅), 혼합형 위협(混合型威脅)",국방과학기술용어,국방과학기술용어사전,기타
6366,복합전,기타,Complex Operation,다차원 전투 공간에서 동시 다발적인 적 위협에 대처하기 위해 지휘 통제가 분권화된 전투 조직으로 전투를 수행하는 개념.,국방과학기술용어,국방과학기술용어사전,기타
6367,복합형 헬리콥터,기타,Compound Helicopter,"종래의 헬리콥터에 보조 추진 장치와 고정 날개를 추가 장치하고 고속 비행할 때는 보조 추진 장치로 전진 추력을 내고, 고정 날개는 양력의 일부 또는 전부를 부담하여 로터(회전 날개)의 부담을 경감시키는 형식의 헬리콥터이다.",국방과학기술용어,국방과학기술용어사전,기타
6368,복행,기타,Go Around,"착륙 진입 중인 항공기가 관제탑으로부터의 지시, 기상 불량, 진입 고도 불량 등의 이유로 착륙을 단념하고 재차 상승하여 착륙을 다시 하는 조작.",국방과학기술용어,국방과학기술용어사전,기타
6369,본 함(정),기타,,"본 계약에 따라 ""을""이 건조하는 ( )함 ( )척을 말한다.",방위사업용어,418 함정건조 계약특수조건 표준 (일반 및 방산),기타
6370,본대,기타,Main Force,(1) 주축이 되는 본부의 군대. (2) 말하는 이가 공식적인 자리에서 자기가 소속된 대(隊)를 이르는 말.,국방과학기술용어,국방과학기술용어사전,기타
6371,본부 대대,기타,The Headquarters Of A Battalion,"지휘 본부에 딸린 직할대대, 육군 본부 따위의 큰 부대의 사령 본부에 소속되어 있는 대대. 본부의 경비, 시설 관리, 행정 따위에 관한 일을 맡는다.",국방과학기술용어,국방과학기술용어사전,기타
6372,본부 중대,기타,A Headquarters Company,"대대급 이상의 각 급 부대에서 부대 본부의 경비, 행정, 전술 따위에 관한 일을 맡아보는 중대.",국방과학기술용어,국방과학기술용어사전,기타
6373,본부 포대,기타,Headquarters Artillery Unit,"대대급 이상의 포병 부대에서 부대 본부의 경비, 행정, 전술 따위에 관한 일을 맡아보는 포대.",국방과학기술용어,국방과학기술용어사전,기타
6374,본부사령실,기타,Headquarters Central Control Room,"사령부급 이상 부대 본부의 경비, 시설 관리, 행정 따위에 관한 일을 맡아보는 부대. 또는 그런 사무실.",국방과학기술용어,국방과학기술용어사전,기타
6375,본선 인도 조건,정책/제도,Free On Board,"매도인이 수출 통관을 마친 물품을 지정된 선적상의 본선의 난간을 통과할 때 인도하고, 그 지점으로부터 물품에 대한 모든 비용과 멸실, 손상 위험을 매수인이 부담하는 것을 의미한다.☞ FOB(Free On Board)",과학기술용어사전+국방부군수전력용어사전,,획득기획
6376,본예산,사업/계약관리,Basic Budget / Original Budget,예산을 성립 시기에 의해 분류한 것으로서 정부가 최초로 예산안을 편성하여 국회의 의결을 거쳐 성립된 예산을 말한다. ☞ 본조(本租),과학기술용어사전,,계약관리
6377,본조,기타,,☞ 본예산(本豫算),국방과학기술용어,국방과학기술용어사전,기타
6378,본조 및 국채,사업/계약관리,Original Budget/National Debt,"당해 회계 년도에 지출 가능한 예산을 본조라 하며, 다음 해 이후 지출 가능한 금액을 국채라 한다.",과학기술용어사전,,계약관리
6379,본조(본조달 예산),사업/계약관리,Original Budget,"1. 당해 연도 내에 계약 납품 지출을 완료하는 예산으로 당해 연도에 납기를 설정해야 함 2. 본조는 본예산이라고도 하며, 헌법 제54조에 의거 국회에서 의결된 1회계연도(매년1.1~12.31)의 예산이다. 이는 당해 연도에 지출이 가능하며, 통상적으로 예산이라 함은 본예산을 뜻한다.",1. KIMA 2. 과학기술용어사전+국방부군수전력용어사전,,계약관리
6380,볼 폭탄,기타,Cluster Bomb Unit,한 폭탄 속에 작은 알갱이 폭탄이 많이 들어 있어 폭탄이 터지면 작은 알갱이가 사방으로 날아가서 또 터지는 폭탄.,국방과학기술용어,국방과학기술용어사전,기타
6381,볼리비아 유행성 출혈열,기타,"Bolivian Epidemic Hemorrhagic Fever, Machupo Epidemic Hemorrhagic Fever","RNA 바이러스인 아레나 바이러스에 의해 발생하는 유행성 출혈열의 한 종류. 볼리비아산 설치류가 매개체이며 감염된 설치류로부터 나오는 에어로졸을 흡입하거나 오염된 음식물을 섭취하면 감염될 수 있다. 고열, 근육통, 눈 뒷부분과 복부의 통증, 일혈, 림프절 종창 등이 생길 수 있으며 소변을 통한 단백질 손실, 점막 출혈, 걸음걸이에 이상을 가져오는 중추신경 이상, 쇼크 등이 일어날 수 있다. 회복기 환자의 혈장과 리바비린이 쇼크 치료 및 출혈 억제와 함께 좋은 치료법이 될 수 있으며 치사율은 15~30% 정도이고, 아르헨티나 유행성 출혈열 백신으로도 교차 보호가 가능하다. 단순히 볼리비아 출혈열(BHF)이라고도 하며, 병원체가 Machupo virus이다. ☜ BHF(Bolivia Hemorrhagic Fever), 마츄포 유행성 출혈열(Machupo 流行性出血熱), 볼리비아 출혈열(Bolivia 出血熱)",국방과학기술용어,국방과학기술용어사전,기타
6382,볼리비아 출혈열,기타,,☞ 볼리비아 유행성 출혈열(Bolivia 流行性出血熱),국방과학기술용어,국방과학기술용어사전,기타
6383,볼탄,기타,,"살상 효과를 극대화시킬 목적으로 개발한 산탄형 폭탄.볼트 [공통] Volt 전위차, 전압, 기전력의 실용 단위. 1볼트는 1옴의 도체에 1암페어의 전류가 통하였을 때 그 도체의 양 끝에 생기는 전위차이다. 기호는 V.",국방과학기술용어,국방과학기술용어사전,기타
6384,봉쇄,기타,Blockade,"적의 주권 하에 있거나 통제 하에 있는 특정 해역, 해안에 대한 모든 선박 및 항공기의 출입을 차단하려는 일종의 작전. 이러한 구역에는 항구, 전 해안선 또는 해안선 일부를 포함시킬 수 있다.",국방과학기술용어,국방과학기술용어사전,기타
6385,봉쇄 기뢰원,기타,Blockade Minefield,적 함선의 해상 활동을 저지하기 위하여 항만 입구 또는 적 함선의 접근을 막기 위하여 일정 구역에 부설하는 기뢰원.,국방과학기술용어,국방과학기술용어사전,기타
6386,봉쇄 함대,기타,"A Blockading Fleet, A Blockading Squadron",봉쇄된 수역을 함부로 드나들지 못하도록 경비 임무를 맡아보는 함대.,국방과학기술용어,국방과학기술용어사전,기타
6387,부 조종사,기타,Copilot,정조종사를 대신하거나 또는 이를 도와서 조종하는 사람.,국방과학기술용어,국방과학기술용어사전,기타
6388,부가 가치 통신망,기타,Value Added Network,"공중 전기 통신 사업자로부터 통신 회선을 빌려 컴퓨터와 접속시켜 어떤 부가 가치를 첨가한 후 불특정 다수를 대상으로 고도의 통신 서비스를 제공하는 통신망. 좌석 예약 시스템, 증권 거래 시스템, 데이터 베이스를 이용한 각종 정보 이용 등이 있다. 네트워크의 부가 가치를 높인다는 의미로 1960년대 후반 미국에서부터 시작하여 컴퓨터 통신을 위한 패킷 교환 망이 개발되고 1973년 연방통신위원회(FCC)에서 VAN에 대한 사업 인가를 시작하였다. 정보 통신. ☜ VAN(Value Added Network), 밴(Van)",국방과학기술용어,국방과학기술용어사전,기타
6389,부가 비용,사업/계약관리,Accessorial Cost,"표준 가격이나 계약 비용에 포함되지 않은 물자의 생산, 판매, 운반하는 데 드는 잡비. 용역, 교육 등의 잡비도 포함된다.",과학기술용어사전+국방부군수전력용어사전,,계약관리
6390,부가 장갑,기타,"Add-on Armor, Applique Armour",차량 외부에 부착된 분리될 수 있는 장갑. 주로 타일 형태로 제작되어 부착되며 공격탄으로 부터 차량 본체를 보호하는 역할을 한다. 전차/장갑차 와 지뢰 제거 차량 및 매복 보호 차량 등에 사용되나 중량이 무겁다. 기술 개발로 인하여 경량의 부가 장갑을 지속적으로 개발 중이다.,국방과학기술용어,국방과학기술용어사전,기타
6391,부가 장갑 키트,기타,Enhanced Applique Armor Kit,"전차나 보병 전투 차량 등 장갑 차량의 방호력을 높이기 위해 피탄될 가능성이 큰 부분에 덧붙이는 장갑. 부가 장갑은 교환을 신속하게 할 수 있도록 모듈식으로 제작되어 전쟁터에서도 간단하게 바꿀 수 있으며 차량 자체의 장갑에 피해를 입히지 않도록 개량되고 있다. 대표적인 부가 장갑으로 미국 해병대와 한국 해병대의 AAVP-7A1 상륙 돌격 장갑차가 장착한 EAAK(Enhanced Applique Armor Kits)가 있다. 이스라엘 라파엘사가 개발한 EAAK는 파도 모양의 부가 장갑으로 300m에서 14.5㎜ 중기관 총탄, 15m에서 155㎜ 포탄 파편을 방어할 수 있다.부가 정수(附加定數) [공통] Additive Level 전시 비축 소요 및 생산 중단 대비 사전 확보 품목, 초도 예비 수리 부속 등 특수 소요가 발생할 때 설정하며 부가 정수는 최고 정수, 최저 정수, 고정 정수와 이중으로 설정할 수 있으며, 청구량 결정 및 일반 운영 개념상 청구 목표에는 포함되지 않는다.",국방과학기술용어,국방과학기술용어사전,기타
