품명부호,품목식별지침부호,품명(한글),품명(영문),품명정의(한글),품명정의(영문)
23632,T102-A,"무장보조장치,헬리콥터용,구경30 기관","ARMAMENT SUBSYSTEM,HELICOPTER,CALIBER .30 MACHINE GUN",헬리콥터(HELICOPTER) (서술된 품목)에 하나 또는 그 이상의 구경 30기관총을 부착하도록 설계된 무장 보조장치다.,"An armament subsystem designed for attachment of one or more MACHINE GUN, CALIBER .30 to a HELICOPTER (as modified)."
23635,A23900,"접착제,덮개 유리용","CEMENT,COVER GLASS",덮개 유리를 현미경으로 박편(슬라이드)에 붙일 때 사용되는 영구적인 접착력을 가진 인조합성 물질이다.,An item made of synthetic materials with permanent adhering qualities for cementing cover glasses to microscope slides.
23636,A06000,"커플링,로드용,착암기용","COUPLING,ROD,ROCK DRILL",곧은 금속막대로 양쪽끝에 크기와 모양이 같은 내부 나사홈이 나 있고 또 짝진 물건을 끼울 수 있게 어깨 홈이 있다. 착암기 축대나 착암기대를 연결하는데 쓰인다.,"A straight metal fitting having internal threaded or tapered sockets of the same type and size on both ends, and a center shouldering for the seating of mating pieces. Used to join a drill rod shank to a drill rod section or two drill rod sections."
23637,A06000,"드릴봉 섹션,착암기용","DRILL ROD SECTION,ROCK DRILL","직선 금속봉은 외면의 양단에 나선이 만들어져 있어서 다른 봉이나 봉의 샹크나 분리형 비트를 끼울 수 있게되 어 있다. 봉의 내부에는 전 길이에 걸쳐 뚫려진 구멍 속의 이물을 제거하기 위한 공기나 물이 통과할 수 있는 통로가 만들어져 있다. 참조:""DRILL ROD,ROCK DRILL"",""SHANK,ROD,ROCK DRILL""","A straight metal rod externally threaded or tapered on both ends for attachment by means of a coupling to another rod or rod shank, or to a detachable bit. The rod has a passageway throughout its entire length for conducting air or water to clear the hole being drilled. See also DRILL ROD, ROCK DRILL; and SHANK, ROD, ROCK DRILL."
23638,A23900,"조인트 봉합 유닛,트레일러 탑재식","JOINT SEALING UNIT,TRAILER MOUNTED","트레일러에 장착된 장치로 탱크,강한 접착성 액체를 펌프질하는 동력펌프,액체관,도포용 노즐이나 결합식 노즐이나 혼합기를 동시에 포함하여 구성된다. 이 장치는 치로 , 거리등 의 갈라진틈, 흠, 이음매 또는 이은자리를 접착제로 봉합하는데 사용된다.","A trailer mounted unit consisting of tank(s), power driven pump(s) designed to pump heavy viscous fluids, fluid lines, and application nozzle and/or combination nozzle-mixer. The unit is designed to apply sealing compound to voids, cracks, joints or seams in runways, streets, and the like."
23639,A003B0,"볼트,때려박음 생크형","BOLT,DRIVE SHANK","외부 나삿니가 있는 조임기구로서 고력금속으로 만들어졌으며 , 나삿니 부분은 하나의 호칭지름이다. 나삿니가 없는 부분은 일정한 그립 렝드이고 또한 일정한 크기의 구멍안에 때려 박아 맞추기 위해 근접공차에 기초를 둔다. 그것은 평판이거나 평판이 아닐 수도 있다. 머리는 나사 드라이버나 렌치로 박아지도록 제작되지 않는다.","An externally threaded fastener, made of high strength metal, whose threaded portion is of one nominal diameter. The unthreaded portion is of a specific grip length, and is ground to a close tolerance in order to provide a drive fit in a specific size hole. It may be plated or unplated. The head is not designed to be driven by a screwdriver or wrench. The item is driven into the parts to be fastened by means of a mallet or similar item."
23645,A510U0,"황산카미나신 캡슐,미국약전",KANAMYCIN SULFATE CAPSULES,,
23648,A10800,"벤조푸르푸린,4B형,시약용","BENZOPURPURIN,4B",,
23651,A10800,"브릴리언트 크레실 청,시약용",BRILLIANT CRESYL BLUE,,
23654,A10000,"뷰레트,시약용",BIURET,,
23655,A10800,"브로모포름,시약용",BROMOFORM,,
23656,A10800,"브루친,시약용",BRUCINE,,
23657,A10800,"카페인,시약용",CAFFEINE,,
23659,A10800,"벤질 알코올,시약용",BENZYL ALCOHOL,,
23660,A10800,"브롬화벤질,시약용",BENZYL BROMIDE,,
23665,A10800,"이소부티르알데히드,시약용",ISOBUTYRALDEHYDE,,
23679,A10800,"과산화 벤조일,시약용",BENZOYL PEROXIDE,,
23683,A509B0,"측지기,방위각용","SURVEYING INSTRUMENT,AZIMUTH",전자식 통제장비인 자이로 나침반 측지기로 참조기선이 장입되어 있으므로 포병의 사 격통제나 유도탄의 방열측정을 위한 여러지점에 대한 방위각이 빨리 결정될 수 있다.,"A gyrocompass surveying instrument, with electronic control package, intended for use in establishing a reference base line from which azimuths to various points may be quickly determined in artillery fire-control and missile-laying surveys."
23684,A10800,"탄산수소 암모늄,시약용",AMMONIUM BICARBONATE,,
23687,A10800,"아닐린 블루,시약용",ANILINE BLUE,,
23688,A10800,"아니솔,시약용",ANISOLE,,
23689,A10800,"안트라센,시약용",ANTHRACENE,,
23690,A10800,"오염화 안티몬,시약용",ANTIMONY PENTACHLORIDE,,
23705,A514Y0,"응급치료키트,개인용","FIRST AID KIT,INDIVIDUAL","특별하지 않은 환경에서 단일 부상병을 응급치료하는 약품,응급조치용품 그리고 잡용품들의 집합체이다.응급치료키트, 다용도용(FIRST AID KIT,GENERAL PURPOSE)""을 참조한다.","A collection of drugs, dressings, and sundries giving first aid to a single casualty in unspecified circumstances. For kits designed for special cases, see FIRST AID KIT, (as modified). For treating plural casulties, see FIRST AID KIT, UTILITY."
23706,T102-A,"총포,표정용,구경 50","GUN,SPOTTING,CALIBER .50",,
23709,T102-A,"총포,표정용,20MM","GUN,SPOTTING,20 MILLIMETER",,
23711,T102-A,"포,축사형,구경 22","GUN,SUBCALIBER,CALIBER .22",,
23712,T102-A,"축사기,구경 30","GUN,SUBCALIBER,CALIBER .30",,
23713,T102-A,"축사기,37MM","GUN,SUBCALIBER,37 MILLIMETER",,
23714,T102-B,"총,무반동식,57MM","RIFLE,RECOILLESS,57",,
23715,T102-B,"소총,무반동식,75MM","RIFLE,RECOILLESS,75",,
23716,T102-B,"총,무반동식,90MM","RIFLE,RECOILLESS,90",,
23717,T102-B,"소총,무반동식,105MM","RIFLE,RECOILLESS,105 MILLIMETER",,
23718,T102-B,"총,무반동식,106MM","RIFLE,RECOILLESS,106 MILLIMETER",,
23722,T09100,디클로로디플루오로메탄 및 디플루오로에,"DICHLORODIFLUOROMETHANE AND DIFLUOROETHANE,AZEOTROPIC MIXTURE",(디클로로티플루오르메탄(C CL2 F2)73.8퍼센트(중량비)와 비대칭 디플루오로에탄(CH3-CHF2) 26.2퍼센트(중량비)의 혼합물 냉동매로 사용된다.,A mixture of 73.8 percent (by weight) of Dichlorodifluoromethane (CCL2F2) and 26.2 percent (by weight) of unsymmetrical Difluoroethane (CH3-CHF2) used as a refrigerant.
23723,A23900,"표적장치,야간사격용,소화기용","TARGET MECHANISM,NIGHT FIRING,SMALL ARMS","휴대용 전자-기계장치로, 소화기 야간사격훈련에 사용된다 . 이 표적 장치는 소화기 사격시의 섬광을 모조해 내며, 표적을 사격하는 병사(들)에게 간신히 식별할 수 있는 반면영상을 제공한다. 이 장치는 표적 명중을 기록하는 계수기를 가진다.","A portable, electro-mechanical device used for training in night firing of small arms. The target mechanism simulates the flash of a gun and presents a barely discernible silhouette to the soldier(s) firing at it. It has a counter to record the hits made on the target(s)."
23724,A568U0,"좌대,포가용","PEDESTAL,GUN MOUNT",포가나 기관총가를 위한 지지용 기부로서  사용하는 품목으로 얹는대나 견인고리 조립체는 제외한다.,An item used as the supporting base for a gun mount or a machine gun mount. It Excludes:a cradle and/or pintle assembly.
23725,T118-B,"그물,다목적용","NET,UTILITY",사용자 개인의 목적에 따라 특정한 크기로 만들 수 있는 그물재료(개방식그물)로 위장망을 만든다거나 일시적으로 물건을 담아 나무속에 넣어 둔다거나 또는 어망 등등으로 쓸 수 있다.,"An open mesh item processed to a specific size which is used by an individual for general purposes, such as to provide a camouflage screen; to wrap up items to be temporarily stored in trees; as a fishing net, and the like."
23726,T113-M,"돼지고기,절편,냉동식","PORK,SLICES,FROZEN","특수처리되고, 모양을 갖추고 있으며, 뼈를 발라낸 냉동 돼지허리살 고기에서 잘라낸 돼지고기 편육이다.","Pork slices cut from specially processed, formed, and boned frozen pork loins."
23728,A10800,"아크롤레인,시약용",ACROLEIN,,
23729,A10800,"3-알리자린 술폰산,나트륨염,시약용","ALIZARINSULFONIC ACID,SODIUM SALT",,
23731,A10800,"브롬화 알릴,시약용",ALLYL BROMIDE,,
23736,A10800,"규산알루미늄,시약용",ALUMINUM SILICATE,,
23738,A10800,"메조산-주석산,시약용",MESO-TARTARIC ACID,,
23739,A10800,"프로피온산,시약용",PROPIONIC ACID,,
23744,A10800,"알리자린,시약용",ALIZARIN,,
23745,A10800,"카르바졸,시약용",CARBAZOLE,,
23749,A10800,"팔미트산,시약용",PALMITIC ACID,,
23751,A10800,"D-주석산,시약용",TARTARIC ACID,,
23759,A10800,"염화알루미늄,6수화물,시약용","ALUMINUM CHLORIDE,HEXAHYDRATE",,
23770,A10800,"인산칼슘,3염기성 분석 시약용","CALCIUM PHOSPHATE,TRIBASIC",,
23787,T102-C,"박격포,4.2인치,견인식","MORTAR,4.2 INCH,TOWED","4.2인치 포탄을 넣어서 발사토록 고안된 박격포이다.  제외: MORTAR, 107 MILLIMETER, TOWED","A mortar designed to receive and fire a CARTRIDGE, 4.2 INCH. Excludes:MORTAR, 107 MILLIMETER, TOWED. (Before using, see provisions of United States Army Regulations AR 700-75.)"
23792,A10800,"황화알루미늄,시약용",ALUMINUM SULFIDE,,
23798,A10800,"클로로페놀 레드,시약용",CHLOROPHENOL RED,,
23799,A10800,"2.4-디메틸아닐린,시약용",DIMETHYLANILINE,,
23809,T152-C,"햄머크,정글용","HAMMOCK,JUNGLE",1인용 취침설비를 준비하도록 쟝글지역에서 사용되게 특별 제작된 품목으로 가벼운 판벽널이나 또는 포함되어 지거나 안되는 닫집에 부착하기 위한 방법으로 구성된다. 모기장 윗 부분 및 옆판벽 널을 갖는다. 취침판 벽널의 각 끝에 로우프에 의해 매달려 지도록 재작되고 역시 장대에 의해 매달린 옆을 따라 투관을 기질 수 있다.,An item specifically designed to be used in jungle areas to provide sleeping accommodations for one person. It consists of a lightweight sleeping panel and a means for attaching a canopy which may or may not be included. It may also have insect netting top and side panels. It is designed to be suspended by ropes at each end of the sleeping panel but may also have sleeves along the sides for suspending by poles.
23811,T087-C,"낭,소변 수집용,소아과용","BAG,URINE COLLECTION,PEDIATRIC","남녀 유아 또는 어린이 소변을 수집하는데 사용하는 일회용 용기이다. 이 품목은 공공 지역에서 통을 정위치에 고정하기 위한 자기-점착성 패드와 같이 제공되며, 기저귀 밑에 입을 수 있도록 설계되었다.  ",A disposable container used for the collection of urine from male or female infants or children. It is provided with a self-adherent pad for holding the bag in position in the pubic region and is designed to permit wearing under a diaper.
23816,A12000,"프레임,설치용,안테나 덮개용","FRAME,MOUNTING,ANTENNA COVER","구멍이 뚫려있고 적당한 자리에 ""덮개,안테나용(COVER,ANTENNA)""을 잡아매도록 되어 있는 다양한 형태의 나무틀 모양의 품목이다. 제외:PLATE,MOUNTING,ANTENNA COVER","A framelike item of varied shapes provided with holes or other means for holding a COVER, ANTENNA in place. Excludes:PLATE, MOUNTING, ANTENNA COVER."
23817,A45100,"디아트리조산 메글루민염 주사액,미국약",DIATRIZOATE MEGLUMINE INJECTION,,
23818,A23900,콘크리트 혼합-분무-분사기,CONCRETE MIXING-SPRAYING-SANDBLASTING MACHINE,"콘크리트,몰탈,내화 물질 등을 혼합하도록 고안되어 고정탱크 내에서 회전하는 주걱을 가진 기계. 이 는 건물벽체,교량,터널 등에 분무함으로서 콘크리트나 다른 재료로 피복 할 목적으로 압축공기를 사용하여 혼합제품을 호스와 노즐을 통하여 내 보낸다.이것은 또한 건습모래 분사에도 사용된다.","A machine having paddles revolving within a fixed tank, designed to mix concrete, mortar, refractory, and the like. It utilizes air pressure to force the mixed product through a hose and nozzle, for the purpose of building up a coating of concrete or other material, on building walls, bridges, tunnels, and the like, by spraying action. Also used for dry and wet sandblasting."
23821,A10800,"아세토니트릴,시약용",ACETONITRILE,,
23822,A10800,"클로로백금산,ACS급",CHLOROPLATINIC ACID,,
23823,A10800,"갈산,시약용",GALLIC ACID,,
23825,A10800,"붕산무수물,시약용",BORIC ANHYDRIDE,,
23827,T113-B,"쿠키,설탕","COOKIES,SUGAR",,
23832,T113-J,"덩굴 월귤,냉동식","CRANBERRIES,FROZEN",,
23836,T113-J,"채소,샐러드 혼합식,신선형","VEGETABLES,SALAD MIX,FRESH",,
23838,T243-H,"연전기,충전물용,치과용","SPREADER,GUTTA-PERCHA,DENTAL",이의 수질강이나 이의 정점에 충전물질을  펴서 넣는 뾰죽한 도구이다.,A sharp pointed instrument that spreads gutta-percha into the pulp chamber of the tooth and the apex of the tooth.
23839,A45100,"니트로 푸란토인 경구 현탁액,미국약전",NITROFURANTOIN ORAL,,
23841,A10800,"옥틸알코올,공업용",OCTYL ALCOHOL,,
23842,A10800,"텅스텐산,시약용",TUNGSTIC ACID,,
23844,A10800,"디에틸렌트리아민,공업용",DIETHYLENETRIAMINE,,
23845,T09100,질소-수소,NITROGEN-HYDROGEN,,
23857,T113-J,"옥수수,탈수식","CORN,DEHYDRATED","잘라서 크림을 발랐거나 또는 전체를 요리했거나 요리하지 않은 달콤한 옥수수 낟알로 만든 식품으로서 탈수 후 최대 습기포함량은 3～4%이다. “옥수수, 건조식”은 제외한다.   ","A food prepared from cut, creamed, or whole, cooked or uncooked kernels of sweet corn, with maximum moisture content of 3 to 4 percent after dehydration. Excludes:CORN, DRIED."
23859,T265-B,"의자,좌탕용","CHAIR,SITZ BATH","회음부, 생식기, 직장부를 물 찜질 치료해야 되는 환자에게 임상 치료를 수행할 수 있도록, 제거할 수 있는 통을 가진 의자, 수술후의 요법이나 수술없는 치료에도 사용된다. 가열기가 갖추어질 수 있다.","A chair, with a removable pan, which provides a means of administering bedside treatment to patients requiring aqueous conducted heat to perineal, genital, and rectal areas. For use in postoperative and nonsurgical therapy. May be furnished with heater."
23860,T243-B,"혼합기-피복기,진공식,치과용","MIXER-INVESTOR,VACUUM,DENTAL","동력용 조합기로서 치과용 인레이(봉박기) 의 진공 피복 및 혼합을 위한 고속 숟갈질 을 할 수 있도록 만들어진 장치이며,저속으로는 진공으로 회반죽,알긴산염 및 석재를 혼합한다.","A motor driven combination unit designed to give high speed spatulation for vacuum mixing and vacuum investing of inlays, and slower speed for vacuum mixing plasters, stones, and alginates."
23861,T243-H,"받침대,연마판용","STAND,ABRASIVE DISK",여러가지의 치과용 연마판을 지지하기 위한 품목이다.,An item designed to hold an assortment of dental abrasive disks.
23864,A21500,"내피,비행사 자켓용","LINER,FLYER'S JACKET",단열 의복으로서 보온을 위해 비행사의 자켓트 밑에 입도록 만든다. 이는 겉옷에 부착할 수 있는 부속을 가질 수도 있다.,"A garment, usually insulated, designed to be worn under a flyer's jacket to provide additional warmth. It may have means for attaching it to the outer garment."
23866,A23900,"반사경조립체,광학기구용","REFLECTOR ASSEMBLY,OPTICAL INSTRUMENT",특정한 각도로  공동설치대에 설치될 수 있는 두개의 광학기구  거울과 광학기구 프리즘으로 구성된 장치다. 이것은 광학적 계통을 통하여 관측거울에 영상을 전달하도록  사용한다.,A device consisting of two optical instrument mirrors and/or optical instrument prisms mounted on a common mounting at a specific angle. It is used to transmit an image through an optical system to the reviewer.
23867,A23900,"주유기,자동 화기용","LUBRICATOR,AUTOMATIC GUN",자동 화기의 동작 부분을 주유하기 위하여 설계된 종합 부품으로 윤활유 통과 화기의 반동에 의하여 조작되는 펌프로 구성되어있다.,An integral component designed to lubricate the moving parts of an automatic gun. It consists of a lubricant reservoir and a pump operated by the recoil force of the gun.
23912,A23900,"소화장비,압축가스용","FIRE FIGHTING SYSTEM,COMPRESSED GAS","세개의 주요부분으로 구성된 단위품목. 일정한 압력하에 가스를 포함하고 수동 혹은 자동적인 방기용 밸브로 장비되어진 하나 이상의 실린더들로서 화재위험 지점까지 혹은 호스감는 틀까지 뻗친 배관통이며, 화재 위험지점에 있는 배관계통속의 한계열의 노즐들 혹은 노즐과 첨단을 갖는 호스들로 이루어진다.","A unit composed of three principal parts: one or more cylinders, containing gas under pressure and equipped with either manual or automatic release valves; a piping system to points of fire danger or to a hose reel; and a series of nozzles in piping system at points of fire danger or a hose with a nozzle and horn."
23913,A45100,"에피네프린 비강용액,미국약전",EPINEPHRINE NASAL SOLUTION,,
23916,A45100,"메틸렌청 주사액,미국약전",METHYLENE BLUE INJECTION,,
23919,A10800,"브롬화 알루미늄,무수물,시약용","ALUMINUM BROMIDE,ANHYDROUS",,
23920,A10800,"바나드산 암모늄,시약용",AMMONIUM VANADATE,,
23921,A10800,"주석산 칼륨 안티몬,반수화물,분석시약","ANTIMONY POTASSIUMTARTRATE,HEMIHYDRATE",,
23923,A10800,"삼차-부틸 알코올,시약용",BUTYL ALCOHOL,,
23933,A10800,"주석산 제2구리,3수화물,시약용","CUPRIC TARTRATE,TRIHYDRATE",,
23934,A10800,"디메틸아민,무수물,시약용","DIMETHYLAMINE,ANHYDROUS",,
23936,T093-A,"황화암모늄 용액,묽은,분석시약용","AMMONIUM SULFIDE SOLUTION,LIGHT",,
23938,A10800,"신코닌,시약용",CINCHONINE,,
23969,A23900,"앵글부착장치,리벳터용","ANGLE ATTACHMENT,RIVETER",밀폐지역에 리벳트를 박고 정지할 수 있는 각도로 리벳트를 보지하기 위하여 리벳트 망치에 부착시키도록 제조된 기계품목.,A mechanical item designed to be attached to a riveting hammer for the purpose of holding rivet sets at an angle for driving and setting rivets in close quarters or confined areas.
23997,T243-J,"컵,정마용,치과 핸드피스용","CUP,POLISHING,DENTAL HANDPIECE",합성 고무 또는 천연 고무로 주형한 원형의 품목으로 이를 닦는데 사용된다. 이 품목은 심봉이 영구히 달려 있을 수도 있고 그렇지 않을 수도 있다. 이 품목은 치과 핸드피스와 함께 사용된다.,A circular-shaped item of molded synthetic or natural rubber designed for polishing teeth. It may or may not be permanently attached to a mandrel. Used with dental handpiece.
24005,A45100,전화당 용액 및 요소 주사약,INVERT SUGAR SOLUTION AND UREA FOR INJECTION,,
24016,A10800,"황화바륨,시약용",BARIUM SULFIDE,,
24018,A10800,"크롬,시약용",CHROMIUM,,
24019,A10800,"황산크롬,분석 시약용",CHROMIUM SULFATE,,
24022,A10800,"황화 제2구리,시약용",CUPRIC SULFIDE,,
24024,A10800,"요오드화 제1구리,시약용",CUPROUS IODIDE,,
24026,T152-A,"천막,유도탄 계통장비 콘솔용","TENT,MISSILE SYSTEM",세면이 벽으로 되고 한면이 미사일 위치탐 지 장비에 부착하도록 된 천막이다. 작동판판과 작동자를 보호하기 위하여 사용된다. 이것은 가벼운 현창과 인원용 문을 가지고 있으며 고르지 못한 땅에 세울때 조절할 수 있는 장치와 장비의 콘솔에 부착할 수 있 는 하드웨어를 가지고 있다.,"A shelter having three side walls and an open end which is designed to be attached to the console of missile locating equipment. It provides protection to the operating panel and operating personnel. It is equipped with light ports, personnel door, adjusting device for erection on uneven ground, and with hardware for attaching to the console of the equipment."
24027,A096A0,"축전기,가변식,석영 유전체형","CAPACITOR,VARIABLE,QUARTZ DIELECTRIC",기계적인 방법을 사용하여 캐패시턴스를 연속적으로 변화시 킬 수 있도록 함으로서 그 용량치가 조정되는 캐패시터이다. 이품목은 유전체로서 석영이 사용되며 둘 또는 그 이상의 분리 될 수 없는 가변 캐패시터로 구성된 품목들을 포함한다.,A capacitor whose capacitance value is controlled by a mechanical means which effects a continuous variation of its capacitance. It includes items consisting of two or more variable capacitors which are inseparable.
24028,A45100,"아네톨,미국약전",ANETHOLE,(미국 제외),This INC was converted from AEUSA to General Use on 06/11/2018.
24029,A34300,안타피린,ANTIPYRINE,,
24036,A10800,"인산나트륨,3염기성,ACS급","SODIUM PHOSPHATE,TRIBASIC",,
24040,A10800,"바륨,시약용",BARIUM,,
24043,A11100,"낭,음식샘플용","BAG,FOOD SAMPLE","임시로 밀봉된 방수, 비독성, 밀봉형, 눈금이 새겨진 살균처리한 플라스틱 용기로서 개방한 후 우유, 물 및 음식 등의 샘플을 넣고 난 다음 다시 밀봉할 수 있다.  ","A liquid tight, nontoxic, sealed, scored, sterile, plastic container which is temporarily sealed and can be opened to accept samples of milk, water, and food and then resealed."
24046,T089-B,냉각수 혼합물,COOLING WATER COMPOUND,"여러가지 구성 성분으로 혼합된 품목으로서, 공기조절장치 , 열교환기, 응축기, 변압기, 공기압축기 등의 냉각수에 첨가하거나 또는 진흙미사, 침전물, 부식 혹은세균이 축척된 기타 장치의 냉각수에 상기현상을 예방하거나 제거하기 위하여 첨가한다. 이 품목은 물에서 냄새를 제거할 수도 있다.","An item compounded of several ingredients specifically designed to be added to cooling water in air conditioning systems, heat exchangers, condensers, transformers, air compressors and the like, or any other system in which mud, silt, sediment or corrosion, or bacteria accumulate, for the purpose of prevention or elimination of one of the above problems. Item may also tend to render water odorless."
24053,A23800,"인쇄소,특수전용,반트레일러 탑재식","PRINTING PLANT,SPECIAL WARFARE,SEMITRAILER MOUNTED",완전한 인쇄장치로서 하나 또는 그 이상의 유개형 차량과 알루미늄 부가물 조립체 및 전투지역에서 전술적 선전을 위하여 선전용전단의 식자와 인쇄 및 보급품으로 구성되 어있다.,"A complete printing unit, consisting of one or more van type vehicles, an aluminum annex assembly, and the necessary equipment and supplies for the composition, printing and preparation of propaganda leaflets for tactical dissemination in combat zones."
24055,A34300,"펜토바르비탈 나트륨,미국약전",PENTOBARBITAL SODIUM,,
24056,A34300,"염산 페닐에프린,미국약전",PHENYLEPHRINE HYDROCHLORIDE,,
24071,A10800,"삼산화 비스무트,분석시약용",BISMUTH TRIOXIDE,,
24073,T087-B,"패드,압력점용,물리요법용","PAD,PRESSURE POINT,PHYSICOTHERAPEUTIC",침대 환자의 압력 점을 없애기 위하여 입이나 수동펌프로 주입구를 통하여 공기를 넣 으면 팽창하여 쿠숀작용을 하는 품목이다.,"A cushioning item which may be either constructed with compartments that are water fillable, gel filled, air inflatable by mouth or manual pump, or of various cushioning materials intended to relieve pressure points, for the prevention and/or treatment of decubitus ulcers. Excludes:PAD, ALTERNATING PRESSURE POINT, PHYSICOTHERAPEUTIC."
24076,A24200,"주입기,피펫용","FILLER,PIPET","입을 대지 않고 피펫 속으로 부식제,전염물질,독물 또는 다른 액체를 흘러넣는데 사용되는 품목이다.","An item used in drawing corrosive, infectious, poisonous, or other liquids into pipets without using the mouth."
24089,A10800,"주석산 칼륨,1/2수화물,분석시약용","POTASSIUM TARTRATE,1/2 HYDRATE",,
24090,A10800,"시안화 카드뮴,시약용",CADMIUM CYANIDE,,
24094,A10800,"옥살산 제2철,시약용",FERRIC OXALATE,,
24099,A10800,"질산 제2구리,3수화물,ACS급","CUPRIC NITRATE,TRIHYDRATE",,
24103,T269-N,"실드,안전용,실험실용","SHIELD,SAFETY,LABORATORY",실험이나 일상적인 작업을 하는 동안 우연 한 폭발이나 깨어진 연접부로부터 작업하는 사람을 보호하기 위하여 실험장치와 장비 의 전면과 혹은 주위에 둘러쳐지도록 제작 된 품목이며 결합용 설비를 포함할 수 있다.,An item designed to be placed in front and/or around laboratory apparatus and equipment to protect workers from accidental explosions or broken connections during experimental or routine operations. May include mounting facilities.
24107,A10800,"탄산칼슘,저 염기성,ACS급","CALCIUM CARBONATE,LOW IN ALKALIES",,
24108,A10800,"D-퓨코스,시약용",FUCOSE,,
24109,A10800,"푸르푸릴,공업용",FURFURAL,,
24110,A10800,"디에틸렌 글리콜 모노에틸 에테르,공업",DIETHYLENE GLYCOL MONOETHYL ETHER,,
24116,A10800,"아세토 아세트산 에틸,시약용",ETHYL ACETOACETATE,,
24128,A10800,"에틸렌디아민,공업용",ETHYLENEDIAMINE,,
24131,T133-C,"수집포,세균 배양용","SWAB,CULTURE",세균학적인 검사의 준비단계로 인체의 조직으로부터 표본을 수집하기 위해 의학적으로 이용되는 부품이다. 이 부품은 보통 목재로 된 가제가 있으며 이 부분은 세균의 활동에 의한 오염이 없도록 처리되어 있어야 한다.,An item used in medical facilities for obtaining specimens from body tissues preparatory to bacteriological examinations. It consists of a rod made of various materials with a pledget of wool or similar material at one end. The pledget has been processed so that it has no detectable bacteriostatic activity.
24133,T090-A,산화 에틸렌-디클로로디플루오로메탄-트,ETHYLENE OXIDE-DICHLORODIFLUOROMETHANE-TRICHLOROFLUROMETHANE MIXTURE,,
24138,A510N0,아미노벤조산 칼륨 정,POTASSIUM AMINOBENZOATE TABLETS,,
24156,A527Y0,"렌치,박스 및 오픈엔드 박스형,겸용","WRENCH,BOX AND OPEN","관이음쇠를 돌려 빼거나 원위치시키는데 주로 사용되도록 만들어진,두 끝이 박스와 오픈엔드 박스로 된 렌치이다. 오픈엔드 박스의 열린쪽은 렌치의 세로 중심선과 각을 이루도록 기계로 다듬질 될 수 있다.","A double end wrench, box and open end box, primarily designed for removing or replacing tube fittings. The opening in the open end box may be machined at an angle from the longitudinal center line of the wrench."
24158,A23800,"렌치 세트,박스 및 오픈엔드 박스 겸","WRENCH SET,COMBINATION BOX AND OPEN END BOX","여러가지 크기의 ""렌치,박스 및 오픈 엔드 박스,겸용(WRENCH,BOX AND OPEN END BOX,COMBINATION)""들의 집단품목이다.","A group of WRENCH, BOX AND OPEN END BOX, COMBINATION having various sizes."
24162,A23900,증류수 용기,DISTILLING RECEIVER,"실험실 장비이며 석유, 역청 또는 기타 물질에서 물의 양을 결정하거나, 내연기관의 크랑크 케이스 오일의 희석등에 쓰인다. 증류장비에서 이 품목은 물꿰이는 플라스크와 환류 냉각기사 이에 위치해 있다.","Laboratory apparatus item designed and used for quantitative determinations of water in petroleum, bituminous materials, and other products, or the dilution of crankcase oil in internal combustion engines. Its location in the distilling apparatus assembly is between a boiling flask and a suitable reflux condenser."
24163,T397-B,"접시 및 선반,실험실용","TRAY AND RACK,LABORATORY","시험관, 마이크로 슬라이드, 피펫 등을 넣 어두며 환자로부터뽑은 여러가지 실험재료 들을 실험실로 운반하는데 사용되는 칸막이가 된 접시함이다.","A compartmented tray and insert rack(s) designed for accommodating test tubes, micro slides, pipets, and the like, for collecting and transporting specimens from patient (bedside) to the laboratory."
24164,T271-L,"대물경선망 조립체,광학기구용","RETICLE ASSEMBLY,OPTICAL INSTRUMENT","""대물경선망,광학기구용(RETICLE, OPTICAL INSTRUMENT)""과""프리즘,광학기구용(PRISM,OPTICAL INSTRUMENT)""을 결속시킨 광택있는 광학유리 원판으로 구성된 광학기구다.우선과  좌선조립품은 사물이나 표적을 3차원적으로 보도록 광학 계통에서 사용된다.","An optical element consisting of a polished optical glass disk to which is bonded a RETICLE, OPTICAL INSTRUMENT and a PRISM, OPTICAL INSTRUMENT. A right-hand and a left-hand assembly are used in an optical system to provide three dimensional vision of an object or target."
24165,T358-A,"케이스,소켓렌치 세트용","CASE,SOCKET WRENCHSET",소켓 렌치 세트를 운반하거나 넣어두기 위 한것 또는 이 두가지 모두를 하도록 만들어진 상자로서 금속이나 비금속 재질로 되어 있다. 이것은 소켓에서 손잡이와 돌리개를 분리시켜 따로따로 넣어둘 수 있도록 칸막 이가 되어 있기도 하다. 공구는 포함되지  않는다.,A hand carried metallic or nonmetallic container for carrying and/or storing socket wrench sets. It may have compartments to separate the handles and drive parts from the sockets. The tools are not included.
24166,A23800,"반사경 및 깃발형 경고키트,고속도로용","REFLECTOR AND FLAGWARNING KIT,HIGHWAY",도로에서 정지된 차량 또는 고장난 차량의 존재를 접근하는 차량의 운전사에게경고하도록 신속하게 설치될 수 있는 접는식 저부와 운반함에 설치되는 두개 이상의 반사경및 깃발로 구성된 품목. 이것은 낮이나 밤에 모두 효과적이다 .,An item consisting of two or more reflectors and flags mounted in a folding or collapsible base and carrying case which can be quickly set up to warn the driver of an approaching vehicle of the presence of a stopped or disabled vehicle on the roadway. It is effective from both directions either day or night.
